region,,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU
sector,,Cultivation of paddy rice,Cultivation of wheat,Cultivation of cereal grains nec,"Cultivation of vegetables, fruit, nuts",Cultivation of oil seeds,"Cultivation of sugar cane, sugar beet",Cultivation of plant-based fibers,Cultivation of crops nec,Cattle farming,Pigs farming,Poultry farming,Meat animals nec,Animal products nec,Raw milk,"Wool, silk-worm cocoons","Manure treatment (conventional), storage and land application","Manure treatment (biogas), storage and land application","Forestry, logging and related service activities (02)","Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing (05)",Mining of coal and lignite; extraction of peat (10),"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying","Extraction of natural gas and services related to natural gas extraction, excluding surveying","Extraction, liquefaction, and regasification of other petroleum and gaseous materials",Mining of uranium and thorium ores (12),Mining of iron ores,Mining of copper ores and concentrates,Mining of nickel ores and concentrates,Mining of aluminium ores and concentrates,Mining of precious metal ores and concentrates,"Mining of lead, zinc and tin ores and concentrates",Mining of other non-ferrous metal ores and concentrates,Quarrying of stone,Quarrying of sand and clay,"Mining of chemical and fertilizer minerals, production of salt, other mining and quarrying n.e.c.",Processing of meat cattle,Processing of meat pigs,Processing of meat poultry,Production of meat products nec,Processing vegetable oils and fats,Processing of dairy products,Processed rice,Sugar refining,Processing of Food products nec,Manufacture of beverages,Manufacture of fish products,Manufacture of tobacco products (16),Manufacture of textiles (17),Manufacture of wearing apparel; dressing and dyeing of fur (18),"Tanning and dressing of leather; manufacture of luggage, handbags, saddlery, harness and footwear (19)","Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials (20)",Re-processing of secondary wood material into new wood material,Pulp,Re-processing of secondary paper into new pulp,Paper,"Publishing, printing and reproduction of recorded media (22)",Manufacture of coke oven products,Petroleum Refinery,Processing of nuclear fuel,"Plastics, basic",Re-processing of secondary plastic into new plastic,N-fertiliser,P- and other fertiliser,Chemicals nec,Manufacture of rubber and plastic products (25),Manufacture of glass and glass products,Re-processing of secondary glass into new glass,Manufacture of ceramic goods,"Manufacture of bricks, tiles and construction products, in baked clay","Manufacture of cement, lime and plaster",Re-processing of ash into clinker,Manufacture of other non-metallic mineral products n.e.c.,Manufacture of basic iron and steel and of ferro-alloys and first products thereof,Re-processing of secondary steel into new steel,Precious metals production,Re-processing of secondary preciuos metals into new preciuos metals,Aluminium production,Re-processing of secondary aluminium into new aluminium,"Lead, zinc and tin production","Re-processing of secondary lead into new lead, zinc and tin",Copper production,Re-processing of secondary copper into new copper,Other non-ferrous metal production,Re-processing of secondary other non-ferrous metals into new other non-ferrous metals,Casting of metals,"Manufacture of fabricated metal products, except machinery and equipment (28)",Manufacture of machinery and equipment n.e.c. (29),Manufacture of office machinery and computers (30),Manufacture of electrical machinery and apparatus n.e.c. (31),"Manufacture of radio, television and communication equipment and apparatus (32)","Manufacture of medical, precision and optical instruments, watches and clocks (33)","Manufacture of motor vehicles, trailers and semi-trailers (34)",Manufacture of other transport equipment (35),Manufacture of furniture; manufacturing n.e.c. (36),Recycling of waste and scrap,Recycling of bottles by direct reuse,Production of electricity by coal,Production of electricity by gas,Production of electricity by nuclear,Production of electricity by hydro,Production of electricity by wind,Production of electricity by petroleum and other oil derivatives,Production of electricity by biomass and waste,Production of electricity by solar photovoltaic,Production of electricity by solar thermal,"Production of electricity by tide, wave, ocean",Production of electricity by Geothermal,Production of electricity nec,Transmission of electricity,Distribution and trade of electricity,Manufacture of gas; distribution of gaseous fuels through mains,Steam and hot water supply,"Collection, purification and distribution of water (41)",Construction (45),Re-processing of secondary construction material into aggregates,"Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries",Retail sale of automotive fuel,"Wholesale trade and commission trade, except of motor vehicles and motorcycles (51)","Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52)",Hotels and restaurants (55),Transport via railways,Other land transport,Transport via pipelines,Sea and coastal water transport,Inland water transport,Air transport (62),Supporting and auxiliary transport activities; activities of travel agencies (63),Post and telecommunications (64),"Financial intermediation, except insurance and pension funding (65)","Insurance and pension funding, except compulsory social security (66)",Activities auxiliary to financial intermediation (67),Real estate activities (70),Renting of machinery and equipment without operator and of personal and household goods (71),Computer and related activities (72),Research and development (73),Other business activities (74),Public administration and defence; compulsory social security (75),Education (80),Health and social work (85),Incineration of waste: Food,Incineration of waste: Paper,Incineration of waste: Plastic,Incineration of waste: Metals and Inert materials,Incineration of waste: Textiles,Incineration of waste: Wood,Incineration of waste: Oil/Hazardous waste,"Biogasification of food waste, incl. land application","Biogasification of paper, incl. land application","Biogasification of sewage slugde, incl. land application","Composting of food waste, incl. land application","Composting of paper and wood, incl. land application","Waste water treatment, food","Waste water treatment, other",Landfill of waste: Food,Landfill of waste: Paper,Landfill of waste: Plastic,Landfill of waste: Inert/metal/hazardous,Landfill of waste: Textiles,Landfill of waste: Wood,Activities of membership organisation n.e.c. (91),"Recreational, cultural and sporting activities (92)",Other service activities (93),Private households with employed persons (95),Extra-territorial organizations and bodies
stressor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Employment hours: High-skilled female,0,0.028396,92.914063,21.831896,34.750812,23.347462,6.846683,0.060114,86.927302,10.664133,58.783395,34.058259,5.588049,2.001621,27.573701,0.084031,0,0,75.189587,52.923105,67.314573,144.905861,70.692182,0,0.340982,1.612271,2.820841,0.3984,0.145384,4.293482,0.49914,0.284069,0,17.495076,15.273997,0.010649,0.00113,0.028021,11.79355,88.437075,4.015636,2.255158,8.993566,302.552739,95.780128,231.478185,29.966514,51.996246,29.607794,58.592068,217.177555,0,39.273684,0,71.56364,70.617908,0.573752,130.429515,3.842745,16.100442,0,3.298005,149.498756,177.982087,54.541029,45.735139,0,35.577654,3.275992,142.943135,0,44.499557,313.119033,0,26.050446,0,96.995424,0,6.404729,0,90.038547,0,89.540209,0,25.800904,1075.189476,740.813481,3.1591,50.309947,23.97154,42.507858,81.1271,43.143834,10.120144,3.162316,0,13.719187,41.706883,17.160952,10.765814,0.00017,1.561381,0.071896,0,0,0,0.019441,0.287196,7.529599,22.218474,40.311889,1.31848,1.383855,724.780139,0,1745.00216,71.136364,2651.113939,5960.818337,1557.104968,85.611124,652.793606,4.711591,109.200525,8.877895,126.431861,573.61404,512.271404,997.768493,746.471476,748.247966,22.34258,0,0,4581.188254,0,3914.622869,11445.083526,9688.112472,0.625331,0.486599,0.104367,0.033063,0.182841,0.166572,0.046405,0,0,0,0,0,1.717675,2.517755,248.095566,104.384777,84.522846,85.131746,36.254163,43.484966,567.307935,2752.024898,0,0,0
Employment hours: High-skilled male,0,0.068698,224.788725,52.818314,84.073291,56.484949,16.564308,0.145432,210.304844,25.799936,142.215764,82.397781,13.519275,4.842562,66.709569,0.203298,0,0,181.90757,128.037856,340.958984,733.97116,358.067104,0,1.727132,8.166417,14.288013,2.017955,0.736386,21.74717,2.528225,1.438857,0,88.615336,77.365211,0.018333,0.001948,0.048237,20.302391,152.242881,6.912847,3.882216,15.482268,520.839258,164.883815,398.485654,51.586832,89.510628,50.969303,100.86522,373.86737,0,67.608962,0,123.195555,121.567495,0.987701,224.532133,6.615219,27.716629,0,5.677457,257.359497,306.393055,93.89143,78.732245,0,61.246311,5.639564,246.074108,0,76.60521,539.02895,0,44.845388,0,166.975928,0,11.02563,0,154.999786,0,154.141905,0,44.415804,1850.919908,1275.297472,5.438334,86.607694,41.266587,73.176534,139.658885,74.271356,17.421652,5.44387,0,39.377991,119.710681,49.256844,30.900964,0.000493,4.481614,0.206364,0,0,0,0.0558,0.82434,21.612103,63.773377,115.706643,3.784411,3.971735,5175.384755,0,1119.708402,45.645781,1701.129445,3824.853936,563.898906,278.264777,2121.797488,15.314249,354.938224,28.856129,410.945821,1864.437419,1636.980436,463.110121,346.471649,347.2962,28.636044,0,0,5820.87197,0,5621.796508,2579.86682,2510.366215,1.794725,1.396558,0.299543,0.094891,0.524766,0.478074,0.133187,0,0,0,0,0,4.929813,7.226074,712.04623,299.589335,242.584636,244.332216,104.051199,124.803949,242.380599,1175.794308,0,0,0
Employment hours: Low-skilled female,0,0.019856,64.975298,15.267161,24.301429,16.327004,4.787922,0.042037,60.788724,7.457485,41.10754,23.817122,3.907753,1.399746,19.282436,0.058764,0,0,52.580478,11.03651,12.083409,26.011553,12.689709,0,0.06121,0.289413,0.506361,0.071515,0.026096,0.770707,0.0896,0.050992,0,3.140481,2.741783,0.001423,0.000151,0.003743,1.575585,11.814933,0.536478,0.301283,1.201514,40.420153,12.795942,30.924802,4.003438,7.513518,4.27836,7.811844,25.873918,0,5.19177,0,9.460329,9.335309,0.071166,16.177967,0.476639,2.020237,0,0.428761,19.435756,23.138765,6.843647,5.617268,0,4.369709,0.402362,17.556519,0,5.465512,38.554401,0,3.207597,0,11.943064,0,0.788616,0,11.086463,0,11.025102,0,3.176871,132.388268,91.53857,0.398341,6.34374,3.022647,5.359951,10.12717,5.385685,1.255108,0.392193,0,1.197638,3.640868,1.498093,0.939819,1.5e-05,0.136303,0.006276,0,0,0,0.001698,0.025072,0.657308,1.939597,3.51909,0.1151,0.120806,122.513746,0,113.551451,4.629013,172.514305,387.884662,202.996413,9.458257,72.120166,0.520533,12.064395,0.980824,13.968101,63.372465,56.595375,9.262105,6.92936,6.94585,1.131419,0,0,231.989509,0,264.650993,630.048143,325.212703,0.054588,0.042478,0.009112,0.002885,0.015962,0.014542,0.00405,0,0,0,0,0,0.149947,0.219791,21.657896,9.112435,7.378556,7.431712,3.164865,3.79609,82.098786,398.263252,0,0,0
Employment hours: Low-skilled male,0,0.048041,157.195951,36.93613,58.792899,39.500228,11.58351,0.101702,147.067297,18.042033,99.45224,57.621207,9.454099,3.38643,46.650356,0.142167,0,0,127.208932,26.700835,61.204374,131.752641,64.275396,0,0.310029,1.465926,2.56479,0.362237,0.132187,3.90376,0.453831,0.258284,0,15.907035,13.887563,0.002448,0.000262,0.006445,2.712341,20.339199,0.923535,0.518652,2.068384,69.582587,22.02799,53.236507,6.891849,12.93439,7.365123,13.447953,44.541499,0,8.937543,0,16.285789,16.070569,0.122511,27.850087,0.820526,3.477801,0,0.738102,33.458314,39.832978,11.78122,9.670029,0,7.522377,0.692661,30.223241,0,9.408784,66.37073,0,5.521822,0,20.559774,0,1.357588,0,19.085149,0,18.979518,0,5.468927,227.904093,157.582049,0.685736,10.920638,5.203436,9.227063,17.433749,9.271363,2.160646,0.675152,0,3.437564,10.450333,4.299954,2.697548,4.2e-05,0.391231,0.018015,0,0,0,0.004869,0.071961,1.886662,5.567199,10.100796,0.330365,0.346719,874.824993,0,72.862097,2.970281,110.69655,248.892366,73.514283,30.742491,234.414658,1.691908,39.21332,3.188003,45.400998,205.981703,180.852419,4.298967,3.216234,3.223887,1.450118,0,0,294.766589,0,380.065739,142.020832,84.268528,0.156675,0.121916,0.026149,0.008285,0.045811,0.041733,0.011627,0,0,0,0,0,0.430357,0.630812,62.159204,26.153124,21.17681,21.329368,9.083315,10.894958,35.076456,170.156768,0,0,0
Employment hours: Medium-skilled female,0,0.103723,339.396251,79.747497,126.937682,85.283551,25.009546,0.219581,317.527827,38.953918,214.723834,124.407921,20.412016,7.31152,100.721145,0.30695,0,0,274.652333,64.45577,67.649776,145.627441,71.044204,0,0.342682,1.620302,2.83489,0.400382,0.146106,4.314862,0.501627,0.285483,0,17.582196,15.350055,0.008385,0.000891,0.022066,9.287358,69.64373,3.162293,1.775926,7.082387,238.258686,75.426345,182.287852,23.598471,37.048522,21.096236,46.250149,192.617884,0,31.306514,0,57.046038,56.292158,0.489542,111.286574,3.278751,13.577891,0,2.678588,121.420527,144.554239,45.995764,39.404531,0,30.653036,2.822534,123.157101,0,38.339977,269.113346,0,22.389323,0,83.363706,0,5.504611,0,77.384545,0,76.956246,0,22.174851,924.082563,634.485257,2.650763,42.214468,20.11423,35.667828,68.776843,36.575902,8.635896,2.69852,0,13.096822,39.81487,16.382454,10.277428,0.000163,1.490551,0.068634,0,0,0,0.018559,0.274168,7.188021,21.210544,38.483159,1.258666,1.321078,728.427927,0,1053.987766,42.966628,1601.282639,3600.356353,1747.418586,94.582167,721.198734,5.205313,120.643464,9.808193,139.68044,633.722076,565.951453,115.8749,86.690761,86.897071,5.310862,0,0,1088.954509,0,1057.017465,1049.699893,979.042477,0.596961,0.464524,0.099633,0.031563,0.174547,0.159016,0.044301,0,0,0,0,0,1.639754,2.403536,236.840826,99.649409,80.688505,81.269784,34.609512,41.51229,294.010523,1426.25236,0,0,0
Employment hours: Medium-skilled male,0,0.250938,821.107683,192.934608,307.102699,206.328084,60.506064,0.531233,768.200996,94.241941,519.48538,300.982407,49.383171,17.688897,243.676544,0.742609,0,0,664.471511,155.93905,342.656834,737.626068,359.850146,0,1.735731,8.207079,14.359161,2.028004,0.740054,21.855463,2.540812,1.446022,0,89.056607,77.750462,0.014437,0.001531,0.037987,15.988026,119.890465,5.443831,3.057225,12.192205,410.158168,129.845137,313.805353,40.624358,63.778382,36.316801,79.618822,331.588322,0,53.893616,0,98.203756,96.905969,0.842739,191.577894,5.644312,23.374101,0,4.611141,209.023319,248.8476,79.180904,67.834213,0,52.768665,4.858941,212.012797,0,66.0016,463.273929,0,38.542827,0,143.509166,0,9.476092,0,133.216146,0,132.478831,0,38.173617,1590.791997,1092.255292,4.56324,72.67147,34.626293,61.401544,118.398135,62.964775,14.866541,4.645456,0,37.591627,114.280062,47.022329,29.499157,0.00047,4.278306,0.197002,0,0,0,0.053268,0.786945,20.63168,60.880325,110.457665,3.612734,3.791557,5201.432256,0,676.308022,27.57022,1027.488484,2310.225945,632.820171,307.423668,2344.137033,16.919002,392.131594,31.879913,454.008133,2059.808639,1808.516825,53.782857,40.237157,40.332915,6.806826,0,0,1383.628968,0,1517.984562,236.615653,253.687718,1.713311,1.333206,0.285953,0.090589,0.500959,0.456385,0.127143,0,0,0,0,0,4.706174,6.898267,679.744583,285.998606,231.579899,233.248197,99.330964,119.142275,125.615107,609.362004,0,0,0
Employment people: High-skilled female,0,0.014488,47.406005,11.138927,17.730332,11.912189,3.49327,0.030671,44.351479,5.440984,29.992079,17.376982,2.851098,1.021254,14.068473,0.042874,0,0,38.362739,27.00208,26.932573,57.976862,28.283955,0,0.136427,0.64507,1.128619,0.1594,0.058168,1.717823,0.199706,0.113656,0,6.999783,6.111129,0.004242,0.00045,0.011162,4.697959,35.228898,1.599628,0.898342,3.582586,120.521846,38.154002,92.209306,11.937157,20.712698,11.794261,23.340143,86.512652,0,15.644667,0,28.507367,28.130635,0.228554,51.956581,1.530757,6.413609,0,1.31376,59.552811,70.899142,21.726412,18.218587,0,14.172354,1.304991,56.94138,0,17.726393,124.730928,0,10.377192,0,38.638115,0,2.551323,0,35.866844,0,35.668331,0,10.277787,428.301594,295.102958,1.258427,20.040961,9.54906,16.933,32.31697,17.186341,4.031358,1.259708,0,5.396984,16.407049,6.750938,4.235158,6.7e-05,0.614231,0.028283,0,0,0,0.007648,0.11298,2.962065,8.740514,15.858273,0.518676,0.548717,285.556294,0,679.386754,27.695727,1032.165882,2320.742698,609.913767,33.859213,258.179974,1.863435,43.188825,3.511209,50.003821,226.864443,203.487244,391.615941,292.983925,293.681183,8.934652,0,0,1822.102437,0,1550.214306,4822.223071,3942.449561,0.247952,0.192943,0.041383,0.01311,0.072499,0.066048,0.0184,0,0,0,0,0,0.681081,0.998323,98.373172,41.389944,33.514426,33.755863,14.375255,17.242364,230.313574,1117.256874,0,0,0
Employment people: High-skilled male,0,0.029016,94.94411,22.308894,35.510072,23.857572,6.996274,0.061426,88.826547,10.89713,60.067733,34.802386,5.710142,2.045355,28.176149,0.085867,0,0,76.832378,54.079404,126.966631,273.316879,133.337369,0,0.643151,3.041018,5.320584,0.751448,0.274216,8.098232,0.941463,0.535803,0,32.998663,28.809331,0.007077,0.000752,0.018621,7.837369,58.770597,2.668579,1.498659,5.976648,201.060529,63.6504,153.828144,19.914159,34.553951,19.675773,38.937185,144.324703,0,26.099211,0,47.557405,46.928922,0.381284,86.676549,2.553685,10.699501,0,2.191679,99.348956,118.27747,36.24508,30.393152,0,23.643025,2.177051,94.992437,0,29.572049,208.082329,0,17.311747,0,64.458022,0,4.256244,0,59.83485,0,59.503681,0,17.145914,714.513989,492.30541,2.09937,33.433326,15.930216,28.248471,53.912774,28.671107,6.725312,2.101507,0,15.163344,46.097177,18.967409,11.899082,0.00019,1.725742,0.079465,0,0,0,0.021487,0.31743,8.322206,24.557313,44.555336,1.457269,1.541674,1966.960842,0,427.762769,17.438081,649.883345,1461.21089,219.434018,105.835486,807.006446,5.824636,134.997537,10.975167,156.299519,709.121876,636.050563,179.04314,133.949506,134.268286,11.132155,0,0,2270.253899,0,2151.946433,1060.15447,1005.697674,0.696643,0.54209,0.116271,0.036833,0.203694,0.18557,0.051698,0,0,0,0,0,1.913563,2.804883,276.388853,116.289012,94.161989,94.840332,40.388658,48.444074,95.447002,463.015779,0,0,0
