stressor	unit
Employment hours: High-skilled female	M.hr
Employment hours: High-skilled male	M.hr
Employment hours: Low-skilled female	M.hr
Employment hours: Low-skilled male	M.hr
Employment hours: Medium-skilled female	M.hr
Employment hours: Medium-skilled male	M.hr
Employment people: High-skilled female	1000 p
Employment people: High-skilled male	1000 p
Employment people: Low-skilled female	1000 p
Employment people: Low-skilled male	1000 p
Employment people: Medium-skilled female	1000 p
Employment people: Medium-skilled male	1000 p
